EmployeeID,Name,Area,Role
E001,Jordan Brown,Law,Director
E002,Riley Garcia,Financial Market Intelligence,Director
E003,Taylor Clark,Financial Market Intelligence,Assistant
E004,Skyler Garcia,Sales,Director
E005,Emerson Lewis,Law,Senior
E006,Alex Lewis,Sales,Senior
E007,Casey Johnson,Customer Service,Director
E008,Taylor Garcia,Law,Assistant
E009,Jordan Johnson,Law,Junior
E010,Skyler Lee,Economic Analysis,Director
E011,Casey Garcia,Law,Junior
E012,Emerson Brown,Customer Service,Assistant
E013,Riley Brown,Sales,Junior
E014,Casey Lewis,Sales,Senior
E015,Jamie Garcia,Economic Analysis,Assistant
E016,Alex Johnson,Customer Service,Junior
E017,Quinn Garcia,Sales,Junior
E018,Alex Smith,Financial Market Intelligence,Senior
E019,Riley Lee,Customer Service,Assistant
E020,Casey Lee,Customer Service,Assistant
E021,Jamie Lewis,Economic Analysis,Senior
E022,Quinn Lewis,Sales,Assistant
E023,Alex Johnson,Customer Service,Assistant
E024,Jordan Lee,Sales,Senior
E025,Skyler Smith,Financial Market Intelligence,Senior
E026,Riley Walker,Economic Analysis,Junior
E027,Skyler Lee,Financial Market Intelligence,Assistant
E028,Quinn Lee,Economic Analysis,Senior
E029,Alex Garcia,Customer Service,Junior
E030,Riley Smith,Economic Analysis,Assistant
E031,Riley Brown,Law,Junior
E032,Morgan Johnson,Sales,Senior
E033,Riley Lewis,Sales,Assistant
E034,Quinn Walker,Law,Junior
E035,Taylor Brown,Financial Market Intelligence,Senior
E036,Taylor Lee,Law,Senior
E037,Quinn Smith,Customer Service,Senior
E038,Taylor Martinez,Customer Service,Senior
E039,Quinn Brown,Sales,Senior
E040,Casey Lee,Customer Service,Senior
E041,Jordan Davis,Sales,Senior
E042,Alex Clark,Law,Junior
E043,Morgan Brown,Law,Assistant
E044,Jamie Martinez,Law,Assistant
E045,Casey Brown,Sales,Junior
E046,Morgan Smith,Law,Senior
E047,Morgan Davis,Law,Assistant
E048,Riley Garcia,Financial Market Intelligence,Senior
E049,Jordan Garcia,Law,Assistant
E050,Riley Lewis,Customer Service,Senior
